setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,variant,sexe,grup_edat,index_socioeconomic,recompte
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.4),Dona,15 a 44,4,1
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.4),Home,80 o més,2,1
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,70 a 79,4,1
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,80 o més,4,2
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,70 a 79,4,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,15 a 44,1,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,15 a 44,3,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,45 a 59,2,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,60 a 69,4,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,80 o més,2,3
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Home,15 a 44,2,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.4),Dona,15 a 44,3,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.4),Dona,80 o més,3,4
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,15 a 44,2,2
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,15 a 44,4,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,5 a 14,4,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,60 a 69,1,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,60 a 69,3,2
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,70 a 79,3,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,15 a 44,2,2
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,15 a 44,4,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,45 a 59,3,5
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,45 a 59,4,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,60 a 69,2,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,70 a 79,4,4
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Dona,70 a 79,1,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.4),Home,15 a 44,3,2
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,15 a 44,3,2
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,60 a 69,2,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,15 a 44,1,1
27,2022,04/07/2022,10/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.2),Dona,70 a 79,2,1
27,2022,04/07/2022,10/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.2),Home,80 o més,3,1
27,2022,04/07/2022,10/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.4),Dona,80 o més,2,1
27,2022,04/07/2022,10/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.4),Home,45 a 59,2,1
27,2022,04/07/2022,10/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Dona,45 a 59,3,1
27,2022,04/07/2022,10/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Dona,60 a 69,3,2
27,2022,04/07/2022,10/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Home,70 a 79,4,2
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Altres,Home,80 o més,4,1
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,45 a 59,3,1
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,70 a 79,2,1
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,70 a 79,3,2
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,70 a 79,4,1
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,0,4,1
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,15 a 44,3,2
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,70 a 79,2,1
27,2022,04/07/2022,10/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,70 a 79,3,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.1),Home,45 a 59,3,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Home,15 a 44,3,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Home,15 a 44,4,2
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Home,45 a 59,4,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Home,80 o més,3,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.4),Dona,45 a 59,3,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Dona,15 a 44,3,3
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Dona,45 a 59,4,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Dona,60 a 69,3,1
