id,year,epi_week,from_date,to_date,state,city,disease,num_deaths
0,1896,189601,1895-12-29,1896-01-04,PA,ALLEGHENY,TUBERCULOSIS,2
1,1896,189601,1895-12-29,1896-01-04,PA,ALLEGHENY,TYPHOID FEVER,5
2,1896,189601,1895-12-29,1896-01-04,PA,ALLEGHENY,WHOOPING COUGH,2
3,1896,189601,1895-12-29,1896-01-04,MA,AMESBURY,DIPHTHERIA,1
4,1896,189601,1895-12-29,1896-01-04,MD,BALTIMORE,TUBERCULOSIS,27
5,1896,189601,1895-12-29,1896-01-04,MD,BALTIMORE,TYPHOID FEVER,2
6,1896,189601,1895-12-29,1896-01-04,MD,BALTIMORE,DIPHTHERIA,7
7,1896,189601,1895-12-29,1896-01-04,MD,BALTIMORE,WHOOPING COUGH,1
8,1896,189601,1895-12-29,1896-01-04,VT,BENNINGTON,TUBERCULOSIS,1
9,1896,189601,1895-12-29,1896-01-04,NY,BINGHAMTON,DIPHTHERIA,1
10,1896,189601,1895-12-29,1896-01-04,MA,BOSTON,TUBERCULOSIS,24
11,1896,189601,1895-12-29,1896-01-04,MA,BOSTON,TYPHOID FEVER,1
12,1896,189601,1895-12-29,1896-01-04,MA,BOSTON,DIPHTHERIA,16
13,1896,189601,1895-12-29,1896-01-04,MA,BOSTON,WHOOPING COUGH,6
14,1896,189601,1895-12-29,1896-01-04,CT,BRISTOL,TUBERCULOSIS,1
15,1896,189601,1895-12-29,1896-01-04,NY,BROOKLYN,TUBERCULOSIS,45
16,1896,189601,1895-12-29,1896-01-04,NY,BROOKLYN,TYPHOID FEVER,8
17,1896,189601,1895-12-29,1896-01-04,NY,BROOKLYN,SCARLET FEVER,5
18,1896,189601,1895-12-29,1896-01-04,NY,BROOKLYN,DIPHTHERIA,38
19,1896,189601,1895-12-29,1896-01-04,NY,BROOKLYN,WHOOPING COUGH,2
20,1896,189601,1895-12-29,1896-01-04,MA,CAMBRIDGE,TUBERCULOSIS,6
21,1896,189601,1895-12-29,1896-01-04,MA,CAMBRIDGE,DIPHTHERIA,1
22,1896,189601,1895-12-29,1896-01-04,IL,CHICAGO,TUBERCULOSIS,37
23,1896,189601,1895-12-29,1896-01-04,IL,CHICAGO,TYPHOID FEVER,12
24,1896,189601,1895-12-29,1896-01-04,IL,CHICAGO,SCARLET FEVER,3
25,1896,189601,1895-12-29,1896-01-04,IL,CHICAGO,DIPHTHERIA,23
26,1896,189601,1895-12-28,1896-01-03,OH,CINCINNATI,TUBERCULOSIS,7
27,1896,189601,1895-12-28,1896-01-03,OH,CINCINNATI,TYPHOID FEVER,6
28,1896,189601,1895-12-28,1896-01-03,OH,CINCINNATI,SCARLET FEVER,3
29,1896,189601,1895-12-28,1896-01-03,OH,CINCINNATI,DIPHTHERIA,6
30,1896,189601,1895-12-29,1896-01-04,OH,CLEVELAND,TUBERCULOSIS,8
31,1896,189601,1895-12-29,1896-01-04,OH,CLEVELAND,TYPHOID FEVER,2
32,1896,189601,1895-12-29,1896-01-04,OH,CLEVELAND,DIPHTHERIA,5
33,1896,189601,1895-12-29,1896-01-04,OH,CLEVELAND,WHOOPING COUGH,1
34,1896,189601,1895-12-29,1896-01-04,OH,COLUMBUS,TUBERCULOSIS,4
35,1896,189601,1895-12-29,1896-01-04,OH,COLUMBUS,DIPHTHERIA,1
36,1896,189601,1895-12-27,1896-01-02,OH,DAYTON,TUBERCULOSIS,4
37,1896,189601,1895-12-27,1896-01-02,OH,DAYTON,DIPHTHERIA,1
38,1896,189601,1895-12-29,1896-01-04,MI,DETROIT,TUBERCULOSIS,1
39,1896,189601,1895-12-29,1896-01-04,MI,DETROIT,DIPHTHERIA,5
40,1896,189601,1895-12-29,1896-01-04,IL,ELGIN,DIPHTHERIA,2
41,1896,189601,1895-12-29,1896-01-04,NJ,ELIZABETH,DIPHTHERIA,1
42,1896,189601,1895-12-29,1896-01-04,MA,EVERETT,DIPHTHERIA,2
43,1896,189601,1895-12-29,1896-01-04,MA,FALL RIVER,TUBERCULOSIS,4
44,1896,189601,1895-12-29,1896-01-04,MA,FALL RIVER,DIPHTHERIA,1
45,1896,189601,1895-12-29,1896-01-04,MA,FALL RIVER,WHOOPING COUGH,1
46,1896,189601,1895-12-29,1896-01-04,MI,GRAND RAPIDS,TUBERCULOSIS,3
47,1896,189601,1895-12-29,1896-01-04,MA,HAVERHILL,TUBERCULOSIS,2
48,1896,189601,1895-12-29,1896-01-04,MA,HAVERHILL,TYPHOID FEVER,1
49,1896,189601,1895-12-31,1896-01-06,TX,HOUSTON,TUBERCULOSIS,1
50,1896,189601,1895-12-29,1896-01-04,OH,IRONTON,TUBERCULOSIS,2
51,1896,189601,1895-12-29,1896-01-04,PA,JOHNSTOWN,TUBERCULOSIS,2
52,1896,189601,1895-12-29,1896-01-04,MA,LOWELL,TUBERCULOSIS,1
53,1896,189601,1895-12-29,1896-01-04,VA,LYNCHBURG,TUBERCULOSIS,1
54,1896,189601,1895-12-29,1896-01-04,WI,MARINETTE,TYPHOID FEVER,1
55,1896,189601,1895-12-29,1896-01-04,TN,MEMPHIS,TUBERCULOSIS,3
56,1896,189601,1895-12-29,1896-01-04,WI,MILWAUKEE,TUBERCULOSIS,6
57,1896,189601,1895-12-29,1896-01-04,WI,MILWAUKEE,SCARLET FEVER,1
58,1896,189601,1895-12-29,1896-01-04,WI,MILWAUKEE,DIPHTHERIA,3
59,1896,189601,1895-12-28,1896-01-03,AL,MOBILE,TUBERCULOSIS,3
60,1896,189601,1895-12-29,1896-01-04,TN,NASHVILLE,TUBERCULOSIS,7
61,1896,189601,1895-12-29,1896-01-04,MA,NEW BEDFORD,TUBERCULOSIS,1
62,1896,189601,1895-12-27,1896-01-02,CT,NEW HAVEN,TUBERCULOSIS,4
63,1896,189601,1895-12-27,1896-01-02,CT,NEW HAVEN,DIPHTHERIA,1
64,1896,189601,1895-12-29,1896-01-04,MA,NEWTON,TUBERCULOSIS,2
65,1896,189601,1895-12-29,1896-01-04,MA,NEWTON,TYPHOID FEVER,1
66,1896,189601,1895-12-29,1896-01-04,NY,NEW YORK,TUBERCULOSIS,91
67,1896,189601,1895-12-29,1896-01-04,NY,NEW YORK,TYPHOID FEVER,5
68,1896,189601,1895-12-29,1896-01-04,NY,NEW YORK,SCARLET FEVER,14
69,1896,189601,1895-12-29,1896-01-04,NY,NEW YORK,DIPHTHERIA,26
70,1896,189601,1895-12-29,1896-01-04,NY,NEW YORK,WHOOPING COUGH,8
71,1896,189601,1895-12-29,1896-01-04,NY,ONEONTA,DIPHTHERIA,1
72,1896,189601,1895-12-29,1896-01-04,FL,PENSACOLA,TUBERCULOSIS,1
73,1896,189601,1896-01-01,1896-01-07,VA,PETERSBURG,TUBERCULOSIS,2
74,1896,189601,1895-12-29,1896-01-04,MA,PITTSFIELD,DIPHTHERIA,1
75,1896,189601,1895-12-29,1896-01-04,ME,PORTLAND,TUBERCULOSIS,4
76,1896,189601,1895-12-29,1896-01-04,ME,PORTLAND,TYPHOID FEVER,1
77,1896,189601,1895-12-29,1896-01-04,ME,PORTLAND,WHOOPING COUGH,1
78,1896,189601,1895-12-29,1896-01-04,RI,PROVIDENCE,TUBERCULOSIS,4
79,1896,189601,1895-12-29,1896-01-04,RI,PROVIDENCE,TYPHOID FEVER,2
80,1896,189601,1895-12-29,1896-01-04,RI,PROVIDENCE,DIPHTHERIA,5
81,1896,189601,1895-12-29,1896-01-04,WI,RACINE,TUBERCULOSIS,4
82,1896,189601,1895-12-29,1896-01-04,PA,SCRANTON,TYPHOID FEVER,1
83,1896,189601,1895-12-29,1896-01-04,PA,SCRANTON,DIPHTHERIA,1
84,1896,189601,1895-12-29,1896-01-04,MA,SOMERVILLE,TUBERCULOSIS,1
85,1896,189601,1895-12-29,1896-01-04,MA,SOMERVILLE,TYPHOID FEVER,1
86,1896,189601,1895-12-29,1896-01-04,MA,SOMERVILLE,DIPHTHERIA,1
87,1896,189601,1895-12-29,1896-01-04,MA,SPRINGFIELD,WHOOPING COUGH,1
88,1896,189601,1895-12-29,1896-01-04,NY,UTICA,TUBERCULOSIS,2
89,1896,189601,1895-12-29,1896-01-04,DE,WILMINGTON,TUBERCULOSIS,3
90,1896,189601,1895-12-29,1896-01-04,DE,WILMINGTON,TYPHOID FEVER,2
91,1896,189601,1895-12-29,1896-01-04,DE,WILMINGTON,DIPHTHERIA,1
92,1896,189601,1895-12-29,1896-01-04,MA,WOBURN,TUBERCULOSIS,1
93,1896,189601,1895-12-29,1896-01-04,OH,YOUNGSTOWN,TUBERCULOSIS,1
