SEXE;EDAT;DATA;ESDEVENIMENT;PAUTA;RECOMPTE
Dona;0 a 9;02/02/2022;Cas;No iniciada;461
Dona;0 a 9;02/02/2022;Hospitalització;No iniciada;9
Dona;0 a 9;02/02/2022;Cas;Parcial;157
Dona;0 a 9;02/02/2022;Crítics;No iniciada;1
Home;0 a 9;02/02/2022;Cas;No iniciada;452
Home;0 a 9;02/02/2022;Hospitalització;No iniciada;6
Home;0 a 9;02/02/2022;Cas;Parcial;178
Dona;10 a 19;02/02/2022;Cas;Completa;587
Dona;10 a 19;02/02/2022;Cas;Parcial;124
Dona;10 a 19;02/02/2022;Cas;No iniciada;137
Home;10 a 19;02/02/2022;Hospitalització;No iniciada;3
Home;10 a 19;02/02/2022;Cas;Parcial;136
Home;10 a 19;02/02/2022;Cas;Completa;593
Home;10 a 19;02/02/2022;Cas;No iniciada;172
Dona;20 a 29;02/02/2022;Cas;Parcial;8
Dona;20 a 29;02/02/2022;Cas;No iniciada;54
Dona;20 a 29;02/02/2022;Hospitalització;Completa;2
Dona;20 a 29;02/02/2022;Cas;Completa;489
Dona;20 a 29;02/02/2022;Hospitalització;No iniciada;1
Home;20 a 29;02/02/2022;Hospitalització;Completa;1
Home;20 a 29;02/02/2022;Cas;Completa;411
Home;20 a 29;02/02/2022;Cas;Parcial;15
Home;20 a 29;02/02/2022;Cas;No iniciada;66
Dona;30 a 39;02/02/2022;Cas;Completa;682
Dona;30 a 39;02/02/2022;Hospitalització;No iniciada;7
Dona;30 a 39;02/02/2022;Hospitalització;Completa;7
Dona;30 a 39;02/02/2022;Cas;No iniciada;91
Dona;30 a 39;02/02/2022;Crítics;Completa;1
Dona;30 a 39;02/02/2022;Cas;Parcial;12
Home;30 a 39;02/02/2022;Cas;Completa;443
Home;30 a 39;02/02/2022;Hospitalització;Completa;5
Home;30 a 39;02/02/2022;Crítics;No iniciada;1
Home;30 a 39;02/02/2022;Hospitalització;No iniciada;3
Home;30 a 39;02/02/2022;Cas;No iniciada;87
Home;30 a 39;02/02/2022;Cas;Parcial;14
Dona;40 a 49;02/02/2022;Hospitalització;No iniciada;1
Dona;40 a 49;02/02/2022;Crítics;Completa;1
Dona;40 a 49;02/02/2022;Hospitalització;Completa;8
Dona;40 a 49;02/02/2022;Cas;Parcial;9
Dona;40 a 49;02/02/2022;Cas;Completa;841
Dona;40 a 49;02/02/2022;Cas;No iniciada;90
Home;40 a 49;02/02/2022;Hospitalització;No iniciada;1
Home;40 a 49;02/02/2022;Cas;No iniciada;64
Home;40 a 49;02/02/2022;Cas;Completa;687
Home;40 a 49;02/02/2022;Cas;Parcial;7
Home;40 a 49;02/02/2022;Hospitalització;Completa;6
Dona;50 a 59;02/02/2022;Hospitalització;Completa;4
Dona;50 a 59;02/02/2022;Cas;Completa;429
Dona;50 a 59;02/02/2022;Cas;Parcial;3
Dona;50 a 59;02/02/2022;Cas;No iniciada;50
Dona;50 a 59;02/02/2022;Hospitalització;No iniciada;3
Home;50 a 59;02/02/2022;Cas;Parcial;2
Home;50 a 59;02/02/2022;Hospitalització;No iniciada;4
Home;50 a 59;02/02/2022;Crítics;Completa;1
Home;50 a 59;02/02/2022;Hospitalització;Completa;7
Home;50 a 59;02/02/2022;Cas;No iniciada;38
Home;50 a 59;02/02/2022;Cas;Completa;313
Dona;60 a 69;02/02/2022;Cas;Parcial;2
Dona;60 a 69;02/02/2022;Cas;Completa;273
Dona;60 a 69;02/02/2022;Hospitalització;Completa;15
Dona;60 a 69;02/02/2022;Cas;No iniciada;25
Dona;60 a 69;02/02/2022;Hospitalització;No iniciada;8
Home;60 a 69;02/02/2022;Crítics;Completa;1
Home;60 a 69;02/02/2022;Cas;No iniciada;22
Home;60 a 69;02/02/2022;Crítics;No iniciada;2
Home;60 a 69;02/02/2022;Cas;Parcial;1
Home;60 a 69;02/02/2022;Hospitalització;Completa;29
Home;60 a 69;02/02/2022;Cas;Completa;207
Home;60 a 69;02/02/2022;Hospitalització;No iniciada;7
Dona;70 a 79;02/02/2022;Hospitalització;No iniciada;4
Dona;70 a 79;02/02/2022;Cas;Parcial;1
Dona;70 a 79;02/02/2022;Hospitalització;Completa;13
Dona;70 a 79;02/02/2022;Cas;Completa;169
Dona;70 a 79;02/02/2022;Cas;No iniciada;13
Home;70 a 79;02/02/2022;Cas;Parcial;1
Home;70 a 79;02/02/2022;Cas;Completa;166
Home;70 a 79;02/02/2022;Hospitalització;No iniciada;8
Home;70 a 79;02/02/2022;Hospitalització;Completa;29
Home;70 a 79;02/02/2022;Crítics;Completa;3
Home;70 a 79;02/02/2022;Cas;No iniciada;7
Dona;80 o més;02/02/2022;Hospitalització;Completa;37
Dona;80 o més;02/02/2022;Hospitalització;No iniciada;9
Dona;80 o més;02/02/2022;Cas;Completa;119
Dona;80 o més;02/02/2022;Hospitalització;Parcial;1
Dona;80 o més;02/02/2022;Cas;Parcial;2
Dona;80 o més;02/02/2022;Cas;No iniciada;15
Home;80 o més;02/02/2022;Hospitalització;Parcial;1
